strain	genbank	date	country	region	division	location	length	host_type	host	authors	date_submitted
OP508610	OP508610	2020-01-20	Brazil				10090	Non-human primate	Alouatta sp.	Giovanetti et al	2022-09-21
OP508612	OP508612	2020-01-20	Brazil				10090	Non-human primate	Alouatta sp.	Giovanetti et al	2022-09-21
OP508611	OP508611	2020-01-20	Brazil				10077	Non-human primate	Alouatta sp.	Giovanetti et al	2022-09-21
OP508706	OP508706	2020-01-21	Brazil	Sul	Santa Catarina	Pomerode	10558	Non-human primate	Allouatta clamitans	Giovanetti et al	2022-09-21
OP508617	OP508617	2020-01-23	Brazil				10051	Non-human primate	Alouatta sp.	Giovanetti et al	2022-09-21
OP508615	OP508615	2020-01-26	Brazil				10054	Non-human primate	Alouatta guariba clamitans	Giovanetti et al	2022-09-21
OP508616	OP508616	2020-01-28	Brazil				10075	Non-human primate	Alouatta guariba clamitans	Giovanetti et al	2022-09-21
OP508631	OP508631	2020-01-29	Brazil				10120	Non-human primate	non-human primate (NHP)	Giovanetti et al	2022-09-21
OP508618	OP508618	2020-01-30	Brazil				10080	Non-human primate	Alouatta sp.	Giovanetti et al	2022-09-21
OP508621	OP508621	2020-01-31	Brazil				10082	Non-human primate	Alouatta sp.	Giovanetti et al	2022-09-21
OP508619	OP508619	2020-02-03	Brazil				10051	Non-human primate	Alouatta sp.	Giovanetti et al	2022-09-21
OP508622	OP508622	2020-02-07	Brazil				10080	Non-human primate	Alouatta sp.	Giovanetti et al	2022-09-21
OP508623	OP508623	2020-02-12	Brazil				10061	Non-human primate	Alouatta sp.	Giovanetti et al	2022-09-21
OP508627	OP508627	2020-02-17	Brazil				10072	Non-human primate	Alouatta sp.	Giovanetti et al	2022-09-21
OP508629	OP508629	2020-02-19	Brazil				10072	Non-human primate	Alouatta sp.	Giovanetti et al	2022-09-21
OP508628	OP508628	2020-02-24	Brazil				10085	Non-human primate	Alouatta sp.	Giovanetti et al	2022-09-21
OP508626	OP508626	2020-02-24	Brazil				9975	Non-human primate	Alouatta sp.	Giovanetti et al	2022-09-21
OP508625	OP508625	2020-02-25	Brazil				10087	Non-human primate	Alouatta sp.	Giovanetti et al	2022-09-21
OP508632	OP508632	2020-02-27	Brazil				10110	Non-human primate	Alouatta sp.	Giovanetti et al	2022-09-21
OP508636	OP508636	2020-02-28	Brazil				10075	Non-human primate	Alouatta sp.	Giovanetti et al	2022-09-21
ON245434	ON245434	2020-02-XX	Nigeria				7875	Human	Homo sapiens	Oguzie et al	2022-04-11
OP508624	OP508624	2020-03-03	Brazil				10077	Non-human primate	Alouatta sp.	Giovanetti et al	2022-09-21
OP508634	OP508634	2020-03-05	Brazil				10081	Non-human primate	Alouatta sp.	Giovanetti et al	2022-09-21
OP508633	OP508633	2020-03-09	Brazil				10075	Non-human primate	Alouatta sp.	Giovanetti et al	2022-09-21
OP508630	OP508630	2020-03-09	Brazil				10054	Non-human primate	Alouatta sp.	Giovanetti et al	2022-09-21
OP508635	OP508635	2020-04-09	Brazil				10087	Non-human primate	Alouatta sp.	Giovanetti et al	2022-09-21
OP508681	OP508681	2020-04-22	Brazil	Sul	Paraná	Cruz Machado	10466	Non-human primate	Alouatta sp.	Giovanetti et al	2022-09-21
OP508637	OP508637	2020-05-04	Brazil				10104	Non-human primate	Alouatta guariba clamitans	Giovanetti et al	2022-09-21
MT505351	MT505351	2020-05-19	USA				11519			Baker et al	2020-05-20
MT505352	MT505352	2020-05-19	USA				11519			Baker et al	2020-05-20
OP508639	OP508639	2020-06-18	Brazil				10088	Non-human primate	Alouatta sp.	Giovanetti et al	2022-09-21
OP508638	OP508638	2020-06-18	Brazil				10099	Non-human primate	Alouatta sp.	Giovanetti et al	2022-09-21
OP508640	OP508640	2020-08-14	Brazil				10077	Non-human primate	Alouatta sp.	Giovanetti et al	2022-09-21
OP508641	OP508641	2020-08-14	Brazil				10087	Non-human primate	Alouatta sp.	Giovanetti et al	2022-09-21
OP508642	OP508642	2020-11-04	Brazil				10069	Non-human primate	Alouatta sp.	Giovanetti et al	2022-09-21
OP508574	OP508574	2020-11-06	Brazil	Centro-Oeste	Goiás	Goiânia	10311	Non-human primate	Alouatta caraya	Giovanetti et al	2022-09-21
OP508575	OP508575	2020-11-06	Brazil	Centro-Oeste	Goiás	Goiânia	10318	Non-human primate	Alouatta caraya	Giovanetti et al	2022-09-21
OP508643	OP508643	2020-11-13	Brazil				10068	Non-human primate	Alouatta sp.	Giovanetti et al	2022-09-21
OP508645	OP508645	2020-11-18	Brazil				10080	Non-human primate	Alouatta sp.	Giovanetti et al	2022-09-21
OP508644	OP508644	2020-11-18	Brazil				10148	Non-human primate	Alouatta sp.	Giovanetti et al	2022-09-21
OP508648	OP508648	2020-11-19	Brazil				10079	Non-human primate	Alouatta sp.	Giovanetti et al	2022-09-21
OP508646	OP508646	2020-11-19	Brazil				10079	Non-human primate	Alouatta sp.	Giovanetti et al	2022-09-21
ON245435	ON245435	2020-11-XX	Nigeria				8558	Human	Homo sapiens	Oguzie et al	2022-04-11
OP508571	OP508571	2020-12-03	Brazil	Centro-Oeste	Distrito Federal	Brasília	10322	Non-human primate	Callithrix penicillata	Giovanetti et al	2022-09-21
OP508572	OP508572	2020-12-03	Brazil	Centro-Oeste	Goiás	Luziânia	10288	Non-human primate	Alouatta caraya	Giovanetti et al	2022-09-21
OP508570	OP508570	2020-12-04	Brazil	Centro-Oeste	Distrito Federal	Brasília	9788	Non-human primate	Callithrix penicillata	Fonseca et al	2022-09-20
OP508573	OP508573	2020-12-08	Brazil	Centro-Oeste	Goiás	Goiânia	10235	Non-human primate	Alouatta caraya	Giovanetti et al	2022-09-21
OP508647	OP508647	2020-12-08	Brazil				10100	Non-human primate	Alouatta sp.	Giovanetti et al	2022-09-21
OP508649	OP508649	2020-12-10	Brazil				10103	Non-human primate	Alouatta sp.	Giovanetti et al	2022-09-21
OP508651	OP508651	2020-12-30	Brazil				10079	Non-human primate	Alouatta sp.	Giovanetti et al	2022-09-21
MZ595204	MZ595204	2020-XX-XX	Senegal				10516	Human	Homo sapiens	Diagne et al	2021-07-15
MZ595203	MZ595203	2020-XX-XX	Senegal				10519	Human	Homo sapiens	Diagne et al	2021-07-15
MZ595183	MZ595183	2020-XX-XX	Senegal				10619	Mosquito	mosquito	Diagne et al	2021-07-15
MZ595196	MZ595196	2020-XX-XX	Senegal				10598	Mosquito	mosquito	Diagne et al	2021-07-15
MZ595191	MZ595191	2020-XX-XX	Senegal				10637	Mosquito	mosquito	Diagne et al	2021-07-15
MZ595192	MZ595192	2020-XX-XX	Senegal				10601	Mosquito	mosquito	Diagne et al	2021-07-15
MZ595194	MZ595194	2020-XX-XX	Senegal				10598	Mosquito	mosquito	Diagne et al	2021-07-15
MZ595198	MZ595198	2020-XX-XX	Senegal				10530	Mosquito	mosquito	Diagne et al	2021-07-15
MZ595182	MZ595182	2020-XX-XX	Senegal				10643	Mosquito	mosquito	Diagne et al	2021-07-15
MZ595189	MZ595189	2020-XX-XX	Senegal				10657	Mosquito	mosquito	Diagne et al	2021-07-15
MZ595188	MZ595188	2020-XX-XX	Senegal				10637	Mosquito	mosquito	Diagne et al	2021-07-15
MZ595197	MZ595197	2020-XX-XX	Senegal				10643	Mosquito	mosquito	Diagne et al	2021-07-15
MZ595186	MZ595186	2020-XX-XX	Senegal				10650	Mosquito	mosquito	Diagne et al	2021-07-15
MZ595185	MZ595185	2020-XX-XX	Senegal				10603	Mosquito	mosquito	Diagne et al	2021-07-15
MZ595193	MZ595193	2020-XX-XX	Senegal				10651	Mosquito	mosquito	Diagne et al	2021-07-15
MZ595187	MZ595187	2020-XX-XX	Senegal				10596	Mosquito	mosquito	Diagne et al	2021-07-15
MZ595184	MZ595184	2020-XX-XX	Senegal				10535	Mosquito	mosquito	Diagne et al	2021-07-15
MZ595190	MZ595190	2020-XX-XX	Senegal				10637	Mosquito	mosquito	Diagne et al	2021-07-15
MZ595199	MZ595199	2020-XX-XX	Senegal				10605	Mosquito	mosquito	Diagne et al	2021-07-15
MZ595195	MZ595195	2020-XX-XX	Senegal				10652	Mosquito	mosquito	Diagne et al	2021-07-15
OP508714	OP508714	2021-01-12	Brazil	Sul	Santa Catarina	Mafra	10221	Non-human primate	Alouatta sp.	Giovanetti et al	2022-09-21
OP508650	OP508650	2021-01-19	Brazil				9991	Non-human primate	Alouatta sp.	Giovanetti et al	2022-09-21
OP508653	OP508653	2021-01-21	Brazil				10111	Non-human primate	Alouatta sp.	Giovanetti et al	2022-09-21
MZ712140	MZ712140	2021-01-25	Brazil				10164	Non-human primate	Alouatta guariba clamitans	Andrade et al	2021-08-04
OP508652	OP508652	2021-01-29	Brazil				10086	Non-human primate	Alouatta sp.	Giovanetti et al	2022-09-21
OP508683	OP508683	2021-02-03	Brazil	Sul	Santa Catarina	Curitibanos	10176	Non-human primate	Alouatta sp.	Giovanetti et al	2022-09-21
MZ712141	MZ712141	2021-02-03	Brazil				10172	Non-human primate	Alouatta guariba clamitans	Andrade et al	2021-08-04
MZ712142	MZ712142	2021-02-03	Brazil				10172	Non-human primate	Alouatta guariba clamitans	Andrade et al	2021-08-04
OP508689	OP508689	2021-02-05	Brazil	Sul	Rio Grande do Sul	Pinhal da Serra	10175	Non-human primate	Alouatta sp.	Giovanetti et al	2022-09-21
OP508701	OP508701	2021-02-08	Brazil	Sul	Rio Grande do Sul	Pinhal da Serra	10161	Non-human primate	Alouatta sp.	Giovanetti et al	2022-09-21
MZ712136	MZ712136	2021-02-08	Brazil				10172	Non-human primate	Alouatta guariba clamitans	Andrade et al	2021-08-04
MZ712143	MZ712143	2021-02-08	Brazil				10172	Non-human primate	Alouatta guariba clamitans	Andrade et al	2021-08-04
OP508655	OP508655	2021-02-08	Brazil				10086	Non-human primate	Alouatta sp.	Giovanetti et al	2022-09-21
OP508658	OP508658	2021-02-10	Brazil				10080	Non-human primate	Alouatta sp.	Giovanetti et al	2022-09-21
OP508654	OP508654	2021-02-10	Brazil				10128	Non-human primate	Alouatta sp.	Giovanetti et al	2022-09-21
OP508707	OP508707	2021-02-11	Brazil	Sul	Santa Catarina	São José do Cerrito	9778	Non-human primate	Alouatta sp.	Giovanetti et al	2022-09-21
MZ712144	MZ712144	2021-02-11	Brazil				10172	Non-human primate	Alouatta guariba clamitans	Andrade et al	2021-08-04
OP508657	OP508657	2021-02-11	Brazil				10195	Non-human primate	Alouatta sp.	Giovanetti et al	2022-09-21
OP508713	OP508713	2021-02-13	Brazil	Sul	Santa Catarina	Ponte Alta	10196	Non-human primate	Alouatta sp.	Giovanetti et al	2022-09-21
OP508677	OP508677	2021-02-14	Brazil	Sul	Santa Catarina	Capão Alto	10180	Non-human primate	Alouatta sp.	Giovanetti et al	2022-09-21
OP508656	OP508656	2021-02-14	Brazil				10101	Non-human primate	Alouatta sp.	Giovanetti et al	2022-09-21
OP508684	OP508684	2021-02-15	Brazil	Sul	Santa Catarina	Campo Belo do Sul	10155	Non-human primate	Alouatta sp.	Giovanetti et al	2022-09-21
OP508659	OP508659	2021-02-16	Brazil				10164	Non-human primate	Alouatta sp.	Giovanetti et al	2022-09-21
OP508662	OP508662	2021-02-18	Brazil				10084	Non-human primate	Alouatta sp.	Giovanetti et al	2022-09-21
OP508691	OP508691	2021-02-19	Brazil	Sul	Rio Grande do Sul	André da Rocha	10172	Non-human primate	Alouatta sp.	Giovanetti et al	2022-09-21
MZ712131	MZ712131	2021-02-19	Brazil				10172	Non-human primate	Alouatta guariba clamitans	Andrade et al	2021-08-04
MZ712146	MZ712146	2021-02-19	Brazil				10172	Non-human primate	Alouatta guariba clamitans	Andrade et al	2021-08-04
MZ712145	MZ712145	2021-02-19	Brazil				10172	Non-human primate	Alouatta guariba clamitans	Andrade et al	2021-08-04
OP508666	OP508666	2021-02-19	Brazil				10156	Non-human primate	Alouatta sp.	Giovanetti et al	2022-09-21
MZ712139	MZ712139	2021-02-20	Brazil				10172	Non-human primate	Alouatta guariba clamitans	Andrade et al	2021-08-04
OP508661	OP508661	2021-02-20	Brazil				10135	Non-human primate	Alouatta sp.	Giovanetti et al	2022-09-21
OP508694	OP508694	2021-02-21	Brazil	Sul	Santa Catarina	Campo Belo do Sul	10329	Non-human primate	Alouatta sp.	Giovanetti et al	2022-09-21
OP508703	OP508703	2021-02-22	Brazil	Sul	Santa Catarina	Lages	10159	Non-human primate	Alouatta sp.	Giovanetti et al	2022-09-21
OP508708	OP508708	2021-02-22	Brazil	Sul	Santa Catarina	Rio Fortuna	10212	Non-human primate	Alouatta sp.	Giovanetti et al	2022-09-21
OP508712	OP508712	2021-02-22	Brazil	Sul	Santa Catarina	Santa Rosa de Lima	10173	Non-human primate	Alouatta sp.	Giovanetti et al	2022-09-21
MZ712128	MZ712128	2021-02-22	Brazil				10172	Non-human primate	Alouatta guariba clamitans	Andrade et al	2021-08-04
MZ712130	MZ712130	2021-02-22	Brazil				9473	Non-human primate	Alouatta guariba clamitans	Andrade et al	2021-08-04
MZ712129	MZ712129	2021-02-22	Brazil				10172	Non-human primate	Alouatta guariba clamitans	Andrade et al	2021-08-04
MZ712147	MZ712147	2021-02-22	Brazil				10172	Non-human primate	Alouatta guariba clamitans	Andrade et al	2021-08-04
MZ712148	MZ712148	2021-02-22	Brazil				10172	Non-human primate	Alouatta guariba clamitans	Andrade et al	2021-08-04
OP508663	OP508663	2021-02-22	Brazil				10144	Non-human primate	Alouatta sp.	Giovanetti et al	2022-09-21
OP508667	OP508667	2021-02-23	Brazil				10086	Non-human primate	Alouatta sp.	Giovanetti et al	2022-09-21
OP508685	OP508685	2021-02-24	Brazil	Sul	Rio Grande do Sul	Vacaria	10183	Non-human primate	Alouatta sp.	Giovanetti et al	2022-09-21
MZ712132	MZ712132	2021-02-24	Brazil				10172	Non-human primate	Alouatta guariba clamitans	Andrade et al	2021-08-04
MZ712149	MZ712149	2021-02-24	Brazil				10172	Non-human primate	Alouatta guariba clamitans	Andrade et al	2021-08-04
MZ712133	MZ712133	2021-02-25	Brazil				10172	Non-human primate	Alouatta guariba clamitans	Andrade et al	2021-08-04
MZ712134	MZ712134	2021-02-25	Brazil				10172	Non-human primate	Alouatta guariba clamitans	Andrade et al	2021-08-04
MZ712137	MZ712137	2021-02-26	Brazil				10172	Non-human primate	Alouatta guariba clamitans	Andrade et al	2021-08-04
OP508664	OP508664	2021-02-27	Brazil				10100	Non-human primate	Alouatta sp.	Giovanetti et al	2022-09-21
OP508697	OP508697	2021-03-02	Brazil	Sul	Rio Grande do Sul	Vacaria	10191	Non-human primate	Alouatta sp.	Giovanetti et al	2022-09-21
OP508704	OP508704	2021-03-03	Brazil	Sul	Rio Grande do Sul	Vacaria	10445	Non-human primate	Alouatta sp.	Giovanetti et al	2022-09-21
MZ712138	MZ712138	2021-03-03	Brazil				10172	Non-human primate	Alouatta guariba clamitans	Andrade et al	2021-08-04
MZ712127	MZ712127	2021-03-04	Brazil				10172	Non-human primate	Alouatta guariba clamitans	Andrade et al	2021-08-04
MZ712135	MZ712135	2021-03-08	Brazil				10172	Non-human primate	Alouatta guariba clamitans	Andrade et al	2021-08-04
OP508665	OP508665	2021-03-08	Brazil				10124	Non-human primate	Alouatta sp.	Giovanetti et al	2022-09-21
OP508668	OP508668	2021-03-09	Brazil				10049	Non-human primate	Alouatta sp.	Giovanetti et al	2022-09-21
OP508709	OP508709	2021-03-11	Brazil	Sul	Rio Grande do Sul	Muitos Capões	10186	Non-human primate	Alouatta sp.	Giovanetti et al	2022-09-21
OP508660	OP508660	2021-03-11	Brazil				10120	Non-human primate	Alouatta sp.	Giovanetti et al	2022-09-21
OP508705	OP508705	2021-03-12	Brazil	Sul	Santa Catarina	São José do Cerrito	10225	Non-human primate	Alouatta sp.	Giovanetti et al	2022-09-21
OP508669	OP508669	2021-03-12	Brazil				10139	Non-human primate	Alouatta sp.	Giovanetti et al	2022-09-21
OP508679	OP508679	2021-03-22	Brazil	Sul	Rio Grande do Sul	Lagoa Vermelha	10216	Non-human primate	Alouatta sp.	Giovanetti et al	2022-09-21
OP508672	OP508672	2021-04-06	Brazil				10133	Non-human primate	Alouatta sp.	Giovanetti et al	2022-09-21
OP508690	OP508690	2021-04-09	Brazil	Sul	Rio Grande do Sul	Campestre da Serra	10185	Non-human primate	Alouatta sp.	Giovanetti et al	2022-09-21
OP508702	OP508702	2021-04-11	Brazil	Sul	Rio Grande do Sul	São Marcos	10158	Non-human primate	Alouatta sp.	Giovanetti et al	2022-09-21
OP508670	OP508670	2021-04-11	Brazil				10179	Non-human primate	Alouatta sp.	Giovanetti et al	2022-09-21
OP508671	OP508671	2021-04-13	Brazil				10108	Non-human primate	Alouatta sp.	Giovanetti et al	2022-09-21
OP508674	OP508674	2021-04-16	Brazil				10090	Non-human primate	Alouatta sp.	Giovanetti et al	2022-09-21
OP508673	OP508673	2021-04-22	Brazil				10134	Non-human primate	Alouatta sp.	Giovanetti et al	2022-09-21
OP508710	OP508710	2021-04-26	Brazil	Sul	Rio Grande do Sul	Bom Jesus	10199	Non-human primate	Alouatta sp.	Giovanetti et al	2022-09-21
OP508678	OP508678	2021-04-28	Brazil	Sul	Rio Grande do Sul	Guabiju	10547	Non-human primate	Alouatta sp.	Giovanetti et al	2022-09-21
OP508687	OP508687	2021-04-28	Brazil	Sul	Rio Grande do Sul	Viamão	10158	Non-human primate	Alouatta sp.	Giovanetti et al	2022-09-21
OP508692	OP508692	2021-05-01	Brazil	Sul	Rio Grande do Sul	Nova Petrópolis	10271	Non-human primate	Alouatta sp.	Giovanetti et al	2022-09-21
OP508698	OP508698	2021-05-02	Brazil	Sul	Rio Grande do Sul	Feliz	10603	Non-human primate	Alouatta sp.	Giovanetti et al	2022-09-21
OP508695	OP508695	2021-05-04	Brazil	Sul	Rio Grande do Sul	Farroupilha	10571	Non-human primate	Alouatta sp.	Giovanetti et al	2022-09-21
OP508680	OP508680	2021-05-04	Brazil	Sul	Rio Grande do Sul	Flores da Cunha	10620	Non-human primate	Alouatta sp.	Giovanetti et al	2022-09-21
OP508693	OP508693	2021-05-11	Brazil	Sul	Rio Grande do Sul	Caxias do Sul	10179	Non-human primate	Alouatta sp.	Giovanetti et al	2022-09-21
OP508699	OP508699	2021-05-12	Brazil	Sul	Rio Grande do Sul	São Francisco de Paula	10202	Non-human primate	Alouatta sp.	Giovanetti et al	2022-09-21
OP508711	OP508711	2021-05-27	Brazil	Sul	Santa Catarina	Blumenau	10185	Non-human primate	Alouatta sp.	Giovanetti et al	2022-09-21
OP508686	OP508686	2021-06-01	Brazil	Sul	Rio Grande do Sul	Linha Nova	10493	Non-human primate	Alouatta sp.	Giovanetti et al	2022-09-21
OL519587	OL519587	2021-08-25	Brazil				10172	Non-human primate	Alouatta caraya	Andrade et al	2021-11-12
OL519589	OL519589	2021-08-25	Brazil				10172	Non-human primate	Alouatta caraya	Andrade et al	2021-11-12
OL519588	OL519588	2021-08-25	Brazil				10172	Non-human primate	Alouatta caraya	Andrade et al	2021-11-12
OP508576	OP508576	2021-09-14	Brazil				10172	Non-human primate	non-human primate (NHP)	Giovanetti et al	2022-09-21
OM066735	OM066735	2021-10-26	Ghana				10478	Human	Homo sapiens	Bonney et al	2021-12-30
OM066736	OM066736	2021-11-04	Ghana				10767	Human	Homo sapiens	Bonney et al	2021-12-30
OM066737	OM066737	2021-11-04	Ghana				10825	Human	Homo sapiens	Bonney et al	2021-12-30
OP508586	OP508586	2022-01-17	Brazil	Sudeste	Minas Gerais	Brasília de Minas	10194	Non-human primate	non-human primate (NHP)	Giovanetti et al	2022-09-21
OP508585	OP508585	2022-01-17	Brazil	Sudeste	Minas Gerais	Brasília de Minas	10194	Non-human primate	non-human primate (NHP)	Giovanetti et al	2022-09-21
OP508589	OP508589	2022-01-17	Brazil	Sudeste	Minas Gerais	Brasília de Minas	10196	Non-human primate	non-human primate (NHP)	Giovanetti et al	2022-09-21
OP508583	OP508583	2022-01-17	Brazil	Sudeste	Minas Gerais	Brasília de Minas	10195	Non-human primate	non-human primate (NHP)	Giovanetti et al	2022-09-21
OP508578	OP508578	2022-01-17	Brazil				10172	Non-human primate	non-human primate (NHP)	Giovanetti et al	2022-09-21
OP508577	OP508577	2022-01-17	Brazil				10172	Non-human primate	non-human primate (NHP)	Giovanetti et al	2022-09-21
OP508580	OP508580	2022-01-17	Brazil				10172	Non-human primate	non-human primate (NHP)	Giovanetti et al	2022-09-21
OP508581	OP508581	2022-01-18	Brazil	Sudeste	Minas Gerais	Brasília de Minas	10195	Non-human primate	non-human primate (NHP)	Giovanetti et al	2022-09-21
OP508582	OP508582	2022-01-18	Brazil	Sudeste	Minas Gerais	Brasília de Minas	10194	Non-human primate	non-human primate (NHP)	Giovanetti et al	2022-09-21
OP508579	OP508579	2022-01-18	Brazil				10163	Non-human primate	non-human primate (NHP)	Giovanetti et al	2022-09-21
OP508584	OP508584	2022-01-19	Brazil				10172	Non-human primate	non-human primate (NHP)	Giovanetti et al	2022-09-21
OP508588	OP508588	2022-03-12	Brazil	Sudeste	Minas Gerais	Ubaí	10194	Non-human primate	non-human primate (NHP)	Giovanetti et al	2022-09-21
AY968064	AY968064		Angola				10823	Human	Homo sapiens	von Lindern et al	2005-03-18
KF907504	KF907504		Bolivia				10657	Human	Homo sapiens	Aubry et al	2013-11-26
ON022678	ON022678		Brazil	Sudeste	São Paulo	Morro Agudo	10172	Non-human primate	Alouatta	Hill et al	2022-03-16
MH666060	MH666060		Brazil				10233	Mosquito	Haemagogus janthinomys	Cunha et al	2018-07-24
MH666059	MH666059		Brazil				9678	Mosquito	Haemagogus leucocelaenus	Cunha et al	2018-07-24
ON022721	ON022721		Brazil				10172	Human	Homo sapiens	Hill et al	2022-03-16
ON022564	ON022564		Brazil				10172	Human	Homo sapiens	Hill et al	2022-03-16
ON022553	ON022553		Brazil				10172	Human	Homo sapiens	Hill et al	2022-03-16
ON022719	ON022719		Brazil				10172	Human	Homo sapiens	Hill et al	2022-03-16
DQ100292	DQ100292		Brazil				10862			Engel et al	2005-06-21
FJ654700	FJ654700		China				10862			Li et al	2009-01-22
AY603338	AY603338		Cote d'Ivoire				10862			Bae et al	2004-04-20
DQ235229	DQ235229		Ethiopia				10823			von Lindern et al	2005-10-10
MH444796	MH444796		France				10846			Beck et al	2018-06-06
MH444795	MH444795		France				10844			Beck et al	2018-06-06
MH444797	MH444797		France				10846			Beck et al	2018-06-06
MH444794	MH444794		France				10841			Beck et al	2018-06-06
AY572535	AY572535		Gambia				10862			Niedrig et al	2004-03-09
MN211303	MN211303		Nigeria				10645	Human	Homo sapiens	Ajogbasile et al	2019-07-23
MN211306	MN211306		Nigeria				10798	Human	Homo sapiens	Ajogbasile et al	2019-07-23
MN211309	MN211309		Nigeria				10564	Human	Homo sapiens	Ajogbasile et al	2019-07-23
MN211302	MN211302		Nigeria				10718	Human	Homo sapiens	Ajogbasile et al	2019-07-23
MN211301	MN211301		Nigeria				10752	Human	Homo sapiens	Ajogbasile et al	2019-07-23
MN211307	MN211307		Nigeria				10652	Human	Homo sapiens	Ajogbasile et al	2019-07-23
MN211304	MN211304		Nigeria				10734	Human	Homo sapiens	Ajogbasile et al	2019-07-23
MN211305	MN211305		Nigeria				10638	Human	Homo sapiens	Ajogbasile et al	2019-07-23
MN211310	MN211310		Nigeria				10656	Human	Homo sapiens	Ajogbasile et al	2019-07-23
MN211308	MN211308		Nigeria				10640	Human	Homo sapiens	Ajogbasile et al	2019-07-23
MN211311	MN211311		Nigeria				10758	Human	Homo sapiens	Ajogbasile et al	2019-07-23
MT107250	MT107250		Russia				10862			Gmyl et al	2020-02-21
OP796361	OP796361		Russia				10862			Kuznetsova et al	2022-11-07
MH444798	MH444798		Senegal				10851	Human	Homo sapiens	Beck et al	2018-06-06
MF004383	MF004383		Sudan				10822	Human	Homo sapiens	Baronti et al	2017-04-29
AY968065	AY968065		Uganda				10823	Human	Homo sapiens	von Lindern et al	2005-03-18
OK573009	OK573009		USA				10635			Mehari et al	2021-09-28
NC_002031	NC_002031						10862			 et al	2004-09-09
LP837229	LP837229						10838			BARBERO et al	
LP981866	LP981866						10838			BARBERO et al	
JN811141	JN811141						10862			Beasley et al	2011-10-04
JN811140	JN811140						10862			Beasley et al	2011-10-04
JN811143	JN811143						10862			Beasley et al	2011-10-04
JN811142	JN811142						10862			Beasley et al	2011-10-04
MN106241	MN106241						10772			Beauclair et al	2019-06-26
MN106242	MN106242						10784			Beauclair et al	2019-06-26
KF769015	KF769015						10838			Beck et al	2013-10-25
KF769016	KF769016						10833			Beck et al	2013-10-25
X15062	X15062						10862			Bouloy et al	1989-04-12
MG051217	MG051217						10730			Da Costa et al	2017-10-05
MG051218	MG051218						10727			Da Costa et al	2017-10-05
MT956628	MT956628						10854			Davis et al	2020-09-02
MT956630	MT956630						10816			Davis et al	2020-09-02
MT956629	MT956629						10822			Davis et al	2020-09-02
JX503529	JX503529						10811			Dugan et al	2012-08-14
U17067	U17067						10862			Galler et al	1994-11-09
U17066	U17066						10862			Galler et al	1994-11-09
LQ460610	LQ460610						8681			HAGEN et al	
LQ564352	LQ564352						8681			HAGEN et al	
MA388208	MA388208						8681			Hagen et al	
LY683293	LY683293						10862			Jones et al	
LY683279	LY683279						10862			Jones et al	
JA784080	JA784080						10776			LEE CYNTHIA K et al	
JA784083	JA784083						10785			LEE CYNTHIA K et al	
JA784081	JA784081						10788			LEE CYNTHIA K et al	
JA784082	JA784082						10811			LEE CYNTHIA K et al	
JA784086	JA784086						10862			LEE CYNTHIA K et al	
JB319328	JB319328						10776			LEE et al	
JB319329	JB319329						10788			LEE et al	
JB319330	JB319330						10811			LEE et al	
JB319331	JB319331						10785			LEE et al	
JB319334	JB319334						10862			LEE et al	
FV537410	FV537410						10862			Millar et al	
FV537411	FV537411						10862			Millar et al	
FV537412	FV537412						10862			Millar et al	
FV537409	FV537409						10862			Millar et al	
U54798	U54798						10862			Pisano et al	1996-04-12
AF094612	AF094612						10760			Pisano et al	1998-09-24
JA630638	JA630638						11564			PUSHKO et al	
LP010436	LP010436						11564			PUSHKO et al	
CS805341	CS805341						10862			Quentin-Millet et al	
FU267585	FU267585						10862			Quentin-millet et al	
X03700	X03700						10862			Rice et al	
LP837643	LP837643						10838			SCHLEGL et al	
LY720078	LY720078						10862			Seo et al	
JN628280	JN628280						10862			Stock et al	2011-08-29
JN628279	JN628279						10862			Stock et al	2011-08-29
JN628281	JN628281						10862			Stock et al	2011-08-29
AY640589	AY640589						10862			Tsetsarkin et al	2004-05-28
OF120370	OF120370						10862			Vangelisti et al	
OF120369	OF120369						10862			Vangelisti et al	
OF120373	OF120373						10862			Vangelisti et al	
OF120366	OF120366						10862			Vangelisti et al	
OF120372	OF120372						10862			Vangelisti et al	
OF120367	OF120367						10862			Vangelisti et al	
OF120371	OF120371						10833			Vangelisti et al	
OF120368	OF120368						10862			Vangelisti et al	
U21056	U21056						10862			Wang et al	1995-02-14
U21055	U21055						10862			Wang et al	1995-02-14
AF052444	AF052444						10862			Xie et al	1998-03-07
AF052438	AF052438						10862			Xie et al	1998-03-07
AF052445	AF052445						10862			Xie et al	1998-03-07
AF052446	AF052446						10862			Xie et al	1998-03-07
AF052439	AF052439						10862			Xie et al	1998-03-07
AF052437	AF052437						10862			Xie et al	1998-03-07
